ID	group	field	groupID	replicate
Bs10A1	Soil	10	Bs10A	1
Bs10A2	Soil	10	Bs10A	2
Bs10A3	Soil	10	Bs10A	3
Bs10A4	Soil	10	Bs10A	4
Bs10A5	Soil	10	Bs10A	5
Bs12A1	Soil	11	Bs12A	1
Bs12A2	Soil	11	Bs12A	2
Bs12A3	Soil	11	Bs12A	3
Bs12A4	Soil	11	Bs12A	4
Bs12A5	Soil	11	Bs12A	5
Bs13A1	Soil	12	Bs13A	1
Bs13A2	Soil	12	Bs13A	2
Bs13A3	Soil	12	Bs13A	3
Bs13A4	Soil	12	Bs13A	4
Bs13A5	Soil	12	Bs13A	5
Bs14A1	Soil	13	Bs14A	1
Bs14A2	Soil	13	Bs14A	2
Bs14A3	Soil	13	Bs14A	3
Bs14A4	Soil	13	Bs14A	4
Bs14A5	Soil	13	Bs14A	5
Bs1A1	Soil	1	Bs1A	1
Bs1A2	Soil	1	Bs1A	2
Bs1A3	Soil	1	Bs1A	3
Bs1A4	Soil	1	Bs1A	4
Bs1A5	Soil	1	Bs1A	5
Bs2A1	Soil	2	Bs2A	1
Bs2A2	Soil	2	Bs2A	2
Bs2A3	Soil	2	Bs2A	3
Bs2A4	Soil	2	Bs2A	4
Bs2A5	Soil	2	Bs2A	5
Bs3A1	Soil	3	Bs3A	1
Bs3A2	Soil	3	Bs3A	2
Bs3A3	Soil	3	Bs3A	3
Bs3A4	Soil	3	Bs3A	4
Bs3A5	Soil	3	Bs3A	5
Bs4A1	Soil	4	Bs4A	1
Bs4A2	Soil	4	Bs4A	2
Bs4A3	Soil	4	Bs4A	3
Bs4A4	Soil	4	Bs4A	4
Bs4A5	Soil	4	Bs4A	5
Bs5A1	Soil	5	Bs5A	1
Bs5A2	Soil	5	Bs5A	2
Bs5A3	Soil	5	Bs5A	3
Bs5A4	Soil	5	Bs5A	4
Bs5A5	Soil	5	Bs5A	5
Bs6A1	Soil	6	Bs6A	1
Bs6A2	Soil	6	Bs6A	2
Bs6A3	Soil	6	Bs6A	3
Bs6A4	Soil	6	Bs6A	4
Bs6A5	Soil	6	Bs6A	5
Bs7A1	Soil	7	Bs7A	1
Bs7A2	Soil	7	Bs7A	2
Bs7A3	Soil	7	Bs7A	3
Bs7A4	Soil	7	Bs7A	4
Bs7A5	Soil	7	Bs7A	5
Bs8A1	Soil	8	Bs8A	1
Bs8A2	Soil	8	Bs8A	2
Bs8A3	Soil	8	Bs8A	3
Bs8A4	Soil	8	Bs8A	4
Bs8A5	Soil	8	Bs8A	5
Bs9A1	Soil	9	Bs9A	1
Bs9A2	Soil	9	Bs9A	2
Bs9A3	Soil	9	Bs9A	3
Bs9A4	Soil	9	Bs9A	4
Bs9A5	Soil	9	Bs9A	5
Pt10C1	Perithecium	10	Pt10C	1
Pt10C2	Perithecium	10	Pt10C	2
Pt10C3	Perithecium	10	Pt10C	3
Pt10C4	Perithecium	10	Pt10C	4
Pt10C5	Perithecium	10	Pt10C	5
Pt11C1	Perithecium	2	Pt11C	1
Pt11C2	Perithecium	2	Pt11C	2
Pt11C3	Perithecium	2	Pt11C	3
Pt11C4	Perithecium	2	Pt11C	4
Pt11C5	Perithecium	2	Pt11C	5
Pt12C1	Perithecium	11	Pt12C	1
Pt12C2	Perithecium	11	Pt12C	2
Pt12C3	Perithecium	11	Pt12C	3
Pt12C4	Perithecium	11	Pt12C	4
Pt12C5	Perithecium	11	Pt12C	5
Pt13C1	Perithecium	12	Pt13C	1
Pt13C2	Perithecium	12	Pt13C	2
Pt13C3	Perithecium	12	Pt13C	3
Pt13C4	Perithecium	12	Pt13C	4
Pt13C5	Perithecium	12	Pt13C	5
Pt14C1	Perithecium	13	Pt14C	1
Pt14C2	Perithecium	13	Pt14C	2
Pt14C3	Perithecium	13	Pt14C	3
Pt14C4	Perithecium	13	Pt14C	4
Pt14C5	Perithecium	13	Pt14C	5
Pt1C1	Perithecium	1	Pt1C	1
Pt1C2	Perithecium	1	Pt1C	2
Pt1C3	Perithecium	1	Pt1C	3
Pt1C4	Perithecium	1	Pt1C	4
Pt1C5	Perithecium	1	Pt1C	5
Pt3C1	Perithecium	3	Pt3C	1
Pt3C2	Perithecium	3	Pt3C	2
Pt3C3	Perithecium	3	Pt3C	3
Pt3C4	Perithecium	3	Pt3C	4
Pt3C5	Perithecium	3	Pt3C	5
Pt4C1	Perithecium	4	Pt4C	1
